@RepFinkenauer
@RepFletcher
@RepBillFoster
@RepLoisFrankel
@RepMarciaFudge
@TulsiPress
@RepRubenGallego
@RepGaramendi
@RepChuyGarcia
@RepSylviaGarcia
@GillibrandNY
@repgolden
@RepJimmyGomez
@RepGonzalez
@RepJoshG
@RepAlGreen
@RepraulGrijalva
@RepDebHaaland
@repohalleran
@RepJoshHarder
@SenKamalaHarris
@Senatorhassan
@RepHastingsFL
@RepJahanaHayes
@RepDennyHeck
@MartinHeinrich
@RepBrianHiggins
@JAHimes
@MazieHirono
@ChrisVanHollen
@RepKendraHorn
@RepHorsford
@RepHoulahan
@LeaderHoyer
@RepHuffman
@RepJayapal
@RepJeffries
@RepEBJ
@RepHankJohnson
@sendougjones
@timkaine
@RepMarcyKaptur
@USRepKeating
@RepRobinKelly
@RepJoeKennedy
@RepRoKhanna
@RepDanKildee
@RepDerekKilmer
@RepAndyKimNJ
@RepRonKind
@RepKirkpatrick
@SenAmyKlobuchar
@congressmanraja
@RepAnnieKuster
@RepConorLamb
@JimLangevin
@RepRickLarsen
@RepJohnLarson
@RepLawrence
@RepAlLawsonJr
@SenatorLeahy
@JacksonLeeTX18
@RepBarbaraLee
@RepSusieLee
@RepAndyLevin
@RepMikeLevin
@RepJohnLewis
@RepTedLieu
@RepLipinski
@DaveLoebsack
@RepZoeLofgren
@RepLowenthal
@NitaLowey
@RepBenRayLujan
@RepElaineLuria
@RepStephenLynch
@RepMalinowski
@RepMaloney
@RepSeanMaloney
@Sen_JoeManchin
@SenMarkey
@sencortezmasto
@DorisMatsui
@RepBenMcAdams
@replucymcbath
@BettyMcCollum04
@RepMcEachin
@RepMcGovern
@RepMcNerney
@RepGregoryMeeks
@SenatorMenendez
@RepGraceMeng
@SenJeffMerkley
@RepGwenMoore
@RepJoeMorelle
@teammoulton
@RepStephMurphy
@PattyMurray
@RepJerryNadler
@GraceNapolitano
@RepRichardNeal
@RepJoeNeguse
@DonaldNorcross
@EleanorNorton
@Ilhan
@FrankPallone
@RepJimmyPanetta
@RepChrisPappas
@BillPascrell
@RepDonaldPayne
@SpeakerPelosi
@RepPerlmutter
@SenGaryPeters
@RepScottPeters
@RepDeanPhillips
@ChelliePingree
@staceyplaskett
@RepMarkPocan
@RepKatiePorter
@RepPressley
@RepDavidEPrice
@RepMikeQuigley
@repraskin
@SenJackReed
@RepKathleenRice
@RepRichmond
@RepLBR
@RepMaxRose
@SenJackyRosen
@RepHarley
@RepRaulRuizMD
@Call_Me_Dutch
@RepBobbyRush
@RepTimRyan
@RepLindaSanchez
@Kilili_Sablan
@GuamCongressman
@RepSarbanes
@RepMGS
@JanSchakowsky
@SenBrianSchatz
@RepAdamSchiff
@repschneider
@RepSchrader
@RepKimSchrier
@RepDWStweets
@SenSchumer
@BobbyScott
@RepDavidScott
@RepJoseSerrano
@RepTerriSewell
@SenatorShaheen
@RepShalala
@BradSherman
@RepSherrill
@SenatorSinema
@RepSires
@RepSlotkin
@RepTorresSmall
@RepAdamSmith
@SenTinaSmith
@RepDarrenSoto
@RepSpanberger
@RepSpeier
@SenStabenow
@RepGregStanton
@RepHaleyStevens
@RepTomSuozzi
@RepSwalwell
@RepMarkTakano
@SenatorTester
@BennieGThompson
@RepThompson
@RepDinaTitus
@RepRashida
@RepPaulTonko
@NormaJTorres
@RepLoriTrahan
@repdavidtrone
@SenatorTomUdall
@RepUnderwood
@RepJuanVargas
@RepVeasey
@RepFilemonVela
@NydiaVelazquez
@RepVisclosky
@MarkWarner
@SenWarren
@RepMaxineWaters
@PeterWelch
@RepWexton
@SenWhitehouse
@RepSusanWild
@RepWilson
@RonWyden
@RepJohnYarmuth
